id,senid,name,type,date,init01,init02,m01,m02,c01,c02,c03,c04,pc01,pc02,gf01,gf02,gf03,gf04,gf05,gf06,logger1_pos1,logger1_pos2,logger2_pos1,logger2_pos2,logger3_pos1,logger3_pos2
1,HS0101,HS-1-1,HS,2020-01-01 1:00,5399.28,,2280.356,,-10.096,0,,,-10.096,,0.050668,999999,999999,,,,18,,,,,
2,HS0110,HS-1-10,HS,2020-01-01 1:00,5179.41,,3297.058,,288.537,0.021,,,288.516,,0.050699,999999,999999,,,,27,,,,,
3,HS0111,HS-1-11,HS,2020-01-01 1:00,5131.01,,2292.937,,6.409,0,,,6.409,,0.050643,999999,999999,,,,28,,,,,
4,HS0112,HS-1-12,HS,2020-01-01 1:00,5261.71,,2294.417,,0.132,-0.001,,,0.133,,0.050136,999999,999999,,,,29,,,,,
5,HS0113,HS-1-13,HS,2020-01-01 1:00,5441.44,,2331.938,,-0.174,0.002,,,-0.176,,0.049632,999999,999999,,,,30,,,,,
6,HS0114,HS-1-14,HS,2020-01-01 1:00,5213.52,,2279.658,,-0.862,0,,,-0.862,,0.051674,999999,999999,,,,31,,,,,
7,HS0102,HS-1-2,HS,2020-01-01 1:00,5296.09,,539.993,,-252.747,-0.006,,,-252.741,,0.050504,999999,999999,,,,19,,,,,
8,HS0103,HS-1-3,HS,2020-01-01 1:00,5145.39,,2261.434,,-1.558,0.001,,,-1.559,,0.049755,999999,999999,,,,20,,,,,
9,HS0104,HS-1-4,HS,2020-01-01 1:00,5290.31,,2288.28,,-2.693,0,,,-2.693,,0.049799,999999,999999,,,,21,,,,,
10,HS0105,HS-1-5,HS,2020-01-01 1:00,5221.92,,2314.708,,6.824,-0.001,,,6.825,,0.050196,999999,999999,,,,22,,,,,
11,HS0106,HS-1-6,HS,2020-01-01 1:00,4959.24,,2314.709,,20.69,0.001,,,20.689,,0.051901,999999,999999,,,,23,,,,,
12,HS0107,HS-1-7,HS,2020-01-01 1:00,5160.42,,2269.728,,-0.439,0,,,-0.439,,0.050137,999999,999999,,,,24,,,,,
14,HS0109,HS-1-9,HS,2020-01-01 1:00,4985.13,,2257.087,,5.656,0,,,5.656,,0.051744,999999,999999,,,,26,,,,,
15,SG0001,SC-1,SG,2020-01-01 1:00,4116.35,9.3,2015.951,-4.875,-0.646,-8.251,-0.643,,,-7.608,-0.07453,-0.29533,999999,,,,17,90,,,,
16,SG0002,SC-2,SG,2020-01-01 1:00,4066.99,8.9,1996.132,-6.676,1.64,20.94,-0.733,,,21.673,-0.072303,-0.35718,999999,,,,15,91,,,,
18,SG0004,SC-4,SG,2020-01-01 1:00,4243.2,5.5,2026.744,-31.207,5.592,71.411,-0.107,,,71.518,-0.075678,-0.2994,999999,,,,40,116,,,,
19,SG0005,SC-5,SG,2020-01-01 1:00,3869.9,6.4,1943.929,-31.027,2.551,32.576,-0.778,,,33.354,-0.074248,-0.35689,999999,,,,41,117,,,,
20,EP0101,EP-1C,EP,2020-06-29 10:00,3485.53,7.3,1686.526,-24.824,121.192,-0.009,,,121.201,,-1.9858,-0.42051,999999,,,,3,113,,,,
21,EP0102,EP-1D,EP,2020-06-29 10:00,3316.75,7.4,1686.04,-24.824,83.67,-0.007,,,83.677,,-1.9021,-0.23497,999999,,,,4,113,,,,
23,EP0201,EP-2C,EP,2020-06-29 10:00,3617.09,17.1,1835.215,-24.824,28.139,-0.006,,,28.145,,-1.3898,-0.58198,999999,,,,39,113,,,,
24,EP0202,EP-2D,EP,2020-06-29 10:00,3452.26,20.3,1816.455,-20.069,15.187,-0.006,,,15.193,,-1.4423,-0.88342,999999,,,,7,83,,,,
26,EP0301,EP-3C,EP,2020-06-29 10:00,3433.34,11.2,1761.177,-7.182,39.854,-0.01,,,39.864,,-1.371,-0.96826,999999,,,,9,85,,,,
27,EP0303,EP-3U,EP,2020-06-29 10:00,3748.09,9.6,1876.514,-21.248,23.695,-0.009,,,23.704,,-1.3357,-0.51758,999999,,,,8,84,,,,
28,EP0401,EP-4C,EP,2020-06-29 10:00,3870.73,8.5,1875.888,-34.559,41.553,0.001,,,41.552,,-1.3629,-0.74109,999999,,,,12,88,,,,
30,EP0403,EP-4U,EP,2020-06-29 10:00,3785.38,9.4,1881.938,-6.381,26.179,-0.006,,,26.185,,-1.3472,-0.5052,999999,,,,11,87,,,,
31,EP0502,EP-5D,EP,2020-06-29 10:00,3139.23,3,1747.51,-9.591,5.394,-0.009,,,5.403,,-1.3347,-1.0928,999999,,,,36,112,,,,
32,EP0503,EP-5U,EP,2020-06-29 10:00,3560.66,11.2,1853.981,-13.568,9.401,-0.008,,,9.409,,-1.283,-0.70566,999999,,,,34,110,,,,
33,EP0601,EP-6C,EP,2020-06-29 10:00,3848.65,9.5,1921.733,-22.431,13.898,-0.006,,,13.904,,-1.3603,-0.85019,999999,,,,38,114,,,,
34,EP0603,EP-6U,EP,2020-06-29 10:00,3594.16,8.9,1865.3,-24.824,8.44,-0.009,,,8.449,,-1.3217,-0.78475,999999,,,,37,113,,,,
37,PJ0102,PJ-1-2,PJ,2020-01-01 1:00,4697.9,,833.373,,-68.507,0.001,,,-68.508,,0.017157,999999,999999,,,,68,,,,,
39,PP0001,PP-1,PP,2020-06-12 15:00,3809.72,3.3,1845.129,-22.782,2.36,-0.001,,,2.361,,-6.56E-01,-6.00E-06,-0.37962,,,,10,118,,,,
40,PP0002,PP-2,PP,2020-06-29 10:00,3262.57,0.6,3404.335,-18.217,-62.97,0.001,,,-62.971,,-6.58E-01,-8.00E-06,-0.37972,,,,43,119,,,,
41,PP0003,PP-3,PP,2020-06-29 10:00,3942.87,21.7,1832.585,-30.296,3.664,0,,,3.664,,-6.77E-01,-8.00E-06,-0.31572,,,,44,120,,,,
42,PP0004,PP-4,PP,2020-06-29 10:00,3627.39,9,1803.137,-5.798,2.257,0.001,,,2.256,,-6.78E-01,-5.00E-06,-0.31414,,,,32,108,,,,
43,PP0005,PP-5,PP,2020-06-29 10:00,2923.32,21.5,1585.234,-4.755,2.555,0,,,2.555,,-6.75E-01,-7.00E-06,-0.66007,,,,33,109,,,,
44,JM0002,JM-2,JM,2020-02-19 10:00,2996.46,,1805.615,2.268,2.268,0,,,2.268,,0.008599,999999,999999,,,,63,,,,,
45,JM0006,JM-6,JM,2020-03-26 10:00,2830.32,,1699.615,0.502,0.502,0.001,,,0.501,,0.008592,999999,999999,,,,64,,,,,
49,PJ0203,PJ-2-3,PJ,2020-01-01 1:00,4467.3,,2083.982,,-2.15,0.002,,,-2.152,,0.017298,999999,999999,,,,55,,,,,
51,JM0007,JM-7,JM,2020-05-09 6:00,2263.22,,1481.896,-0.576,-0.576,0,,,-0.576,,0.00857,999999,999999,,,,,,54,,,
63,PJ0701,PJ-7-1,PJ,2020-01-01 1:00,4450.11,,2139.216,,2.178,0,,,2.178,,0.017267,999999,999999,,,,,,,,53,
67,PP0011,PP-11,PP,2020-06-29 10:00,3674.87,10,1882.317,-8.406,0.56,-0.001,,,0.561,,-6.99E-01,-9.00E-06,-0.65182,,,,,,33,102,,
69,PP0007,PP-7,PP,2020-06-29 10:00,3713.77,9.5,1821.947,2.178,2.413,0,,,2.413,,-6.90E-01,-9.00E-06,-0.46137,,,,,,11,80,,
70,PP0008,PP-8,PP,2020-06-29 10:00,3758.3,10,1815.509,-2.851,2.733,-0.001,,,2.734,,-6.53E-01,-8.00E-06,-0.79609,,,,,,12,83,,
71,PP0009,PP-9,PP,2021-06-04 14:00,3781.59,19.7,1816.249,-0.522,2.937,0.001,,,,,-6.68E-01,-7.00E-06,-0.14764,,,,,,12,81,,
73,HS0201,HS-2-1,HS,2020-01-01 1:00,5261.53,,2248.322,,-10.255,-0.001,,,-10.254,,0.049641,999999,999999,,,,,,18,,,
75,HS0211,HS-2-11,HS,2020-01-01 1:00,5081.74,,2302.275,,11.052,0,,,11.052,,0.050527,999999,999999,,,,,,28,,,
77,HS0213,HS-2-13,HS,2020-01-01 1:00,5401.54,,2330.664,,1.522,0.002,,,1.52,,0.049964,999999,999999,,,,,,30,,,
80,HS0203,HS-2-3,HS,2020-01-01 1:00,5459.09,,2253.267,,-19.162,-0.007,,,-19.155,,0.050179,999999,999999,,,,,,20,,,
81,HS0204,HS-2-4,HS,2020-01-01 1:00,5465.57,,419.862,,-264.083,-0.009,,,-264.074,,0.049928,999999,999999,,,,,,21,,,
82,HS0205,HS-2-5,HS,2020-01-01 1:00,5328.24,,2305.653,,-0.613,0,,,-0.613,,0.050236,999999,999999,,,,,,22,,,
83,HS0206,HS-2-6,HS,2020-01-01 1:00,5099.54,,419.979,,-249.658,-0.012,,,-249.646,,0.050711,999999,999999,,,,,,23,,,
84,HS0207,HS-2-7,HS,2020-01-01 1:00,5244.79,,2284.97,,-1.189,0.007,,,-1.196,,0.050152,999999,999999,,,,,,24,,,
85,HS0208,HS-2-8,HS,2020-01-01 1:00,5171.22,,539.888,,-243.489,-0.021,,,-243.468,,0.049898,999999,999999,,,,,,25,,,
86,HS0209,HS-2-9,HS,2020-01-01 1:00,4948.33,,2287.503,,14.422,-0.001,,,14.423,,0.050721,999999,999999,,,,,,26,,,
87,SG0010,SC-10,SG,2020-01-01 1:00,4009.5,5.2,1986.487,4.548,0.319,4.071,-0.566,,,4.637,-0.076324,-0.3231,999999,,,,,,41,110,,
88,SG0006,SC-6,SG,2020-01-01 1:00,4107.17,9.5,1967.64,-1.24,12.928,165.092,-0.579,,,165.671,-0.072839,-0.33943,999999,,,,,,14,83,,
89,SG0007,SC-7,SG,2020-01-01 1:00,4008,9.4,1984.078,-10.968,0.931,11.892,-0.224,,,12.116,-0.075183,-0.33983,999999,,,,,,15,84,,
90,SG0008,SC-8,SG,2020-01-01 1:00,4140.41,10.2,1968.751,-8.683,15.609,199.331,-0.548,,,199.879,-0.075667,-0.34523,999999,,,,,,16,85,,
91,SG0009,SC-9,SG,2020-01-01 1:00,4052.5,5.2,1972.94,-21.531,7.787,99.435,-0.179,,,99.614,-0.076624,-0.31058,999999,,,,,,40,109,,
92,EP1001,EP-10C,EP_,2020-06-29 10:00,3635.55,12.1,1815.509,1.075,4.644,-0.001,,,4.645,,-1.3415,-0.545,999999,,,,,,12,81,,
93,EP1002,EP-10D,EP_,2020-06-29 10:00,3067.78,6.7,1682.832,0.659,3.291,-0.001,,,3.292,,-1.3683,-0.47037,999999,,,,,,13,82,,
94,EP1003,EP-10U,EP_,2020-06-29 10:00,3507.59,14.1,1821.947,2.178,2.574,-0.001,,,2.575,,-1.3422,-0.65432,999999,,,,,,11,80,,
95,EP1101,EP-11C,EP_,2020-06-29 10:00,3570.11,10.9,1849.154,-7.738,2.056,-0.001,,,2.057,,-1.3375,-0.29258,999999,,,,,,35,104,,
96,EP1102,EP-11D,EP_,2020-06-29 10:00,3787.25,13.2,1914.311,3.141,1.645,-0.001,,,1.646,,-1.3149,-0.88757,999999,,,,,,36,105,,
97,EP1103,EP-11U,EP_,2020-06-29 10:00,3765.65,11.3,405.703,-12.894,51.904,0.172,,,51.732,,-1.4135,-0.72443,999999,,,,,,34,103,,
98,EP1201,EP-12C,EP_,2020-06-29 10:00,3161.48,14.2,1743.35,-3.402,1.649,-0.001,,,1.65,,-1.3235,-0.60385,999999,,,,,,38,107,,
99,EP1202,EP-12D,EP_,2020-06-29 10:00,3166.64,9.2,1743.467,2.456,1.807,-0.002,,,1.809,,-1.396,-0.69802,999999,,,,,,39,108,,
100,EP1203,EP-12U,EP_,2020-06-29 10:00,3709.05,10.4,1901.938,-1.561,1.298,0,,,1.298,,-1.388,-0.33831,999999,,,,,,37,106,,
101,EP0701,EP-7C,EP_,2020-06-29 10:00,3272.74,5.8,1664.246,-17.252,10.075,-0.001,,,10.076,,-1.9642,-0.24264,999999,,,,,,3,72,,
102,EP0702,EP-7D,EP_,2020-06-29 10:00,3486.47,5.7,660.098,-6.022,59.639,-2.815,,,62.454,,-1.9171,-0.32704,999999,,,,,,4,73,,
103,EP0703,EP-7U,EP_,2020-06-29 10:00,3315.76,5.7,1705.342,-5.628,7.901,-0.001,,,7.902,,-1.9012,-0.30196,999999,,,,,,2,71,,
104,EP0801,EP-8C,EP_,2020-06-29 10:00,3762.43,12.4,660.146,3.6,48.343,-0.001,,,48.344,,-1.4251,-0.85507,999999,,,,,,6,75,,
105,EP0802,EP-8D,EP_,2020-06-29 10:00,3762.92,13.9,1901.355,-6.58,2.127,-0.001,,,2.128,,-1.4115,-0.91748,999999,,,,,,7,76,,
106,EP0803,EP-8U,EP_,2020-06-29 10:00,3479.98,10.6,1821.012,-3.261,2.277,-0.002,,,2.279,,-1.3627,-0.67284,999999,,,,,,5,74,,
107,EP0901,EP-9C,EP_,2020-06-29 10:00,2923.3,8.2,3340.022,-5.613,-109.451,-0.005,,,-109.446,,-1.3038,-0.97786,999999,,,,,,9,78,,
108,EP0902,EP-9D,EP_,2020-06-29 10:00,3726.3,8.5,1867.203,4.886,3.407,-0.001,,,3.408,,-1.393,-0.63556,999999,,,,,,10,79,,
109,EP0903,EP-9U,EP_,2020-06-29 10:00,3689.35,8.5,1877.878,-15.891,2.192,-0.002,,,2.194,,-1.3191,-0.42047,999999,,,,,,8,77,,
110,JM0004,JM-4,JM,2020-02-19 10:00,2095.9,,1557.307,2.687,2.687,0,,,2.687,,0.00816,999999,999999,,,,,,,,62,
111,JM0008,JM-8,JM,2020-04-16 19:00,2398.83,,1554.343,0.146,0.146,0,,,0.146,,0.008518,999999,999999,,,,,,,,64,
118,NS0007,NS-7,NS,2020-04-13 8:00,2433.83,0,796.095,7.054,-1637.735,-1637.735,,,,,999999,999999,999999,,,,,,,,66,136
121,PJ0403,PJ-4-3,PJ,2020-01-01 1:00,4771.34,,1780.931,,-27.453,0.004,,,-27.457,,0.017162,999999,999999,,,,63,,,,,
125,PP0012,PP-12,PP,2020-06-29 8:00,3414.92,-1.9,3377.071,3.53,-61.058,0,,,,,-6.85E-01,-6.00E-06,-0.30432,,,,,,,,42,112
126,PP0013,PP-13,PP,2020-06-29 8:00,3437.86,26,1785.953,-16.185,1.391,0,,,,,-6.83E-01,-9.00E-06,-0.39708,,,,,,,,43,113
127,PP0014,PP-14,PP,2020-06-29 8:00,3635.66,22.6,1839.615,-17.008,1.407,0,,,,,-6.89E-01,-7.00E-06,-0.50058,,,,,,,,32,102
129,HS0301,HS-3-1,HS,2020-01-01 1:00,5197.55,,2227.879,,-11.806,0,,,-11.806,,0.050432,999999,999999,,,,,,,,18,
130,HS0310,HS-3-10,HS,2020-01-01 1:00,5289.45,,2311.094,,2.572,0,,,2.572,,0.049751,999999,999999,,,,,,,,27,
131,HS0311,HS-3-11,HS,2020-01-01 1:00,5018.02,,2234.691,,-1.24,-0.001,,,-1.239,,0.051285,999999,999999,,,,,,,,28,
132,HS0312,HS-3-12,HS,2020-01-01 1:00,5261.1,,2279.147,,-3.338,0,,,-3.338,,0.050121,999999,999999,,,,,,,,29,
133,HS0313,HS-3-13,HS,2020-01-01 1:00,5311.3,,2268.803,,-8.246,-0.004,,,-8.242,,0.050334,999999,999999,,,,,,,,30,
134,HS0314,HS-3-14,HS,2020-01-01 1:00,5371.85,,2318.189,,0.107,0,,,0.107,,0.049621,999999,999999,,,,,,,,31,
135,HS0302,HS-3-2,HS,2020-01-01 1:00,5328.97,,2307.821,,-0.145,0,,,-0.145,,0.04941,999999,999999,,,,,,,,19,
136,HS0303,HS-3-3,HS,2020-01-01 1:00,5094.88,,540.115,,-241.786,0.019,,,-241.805,,0.050339,999999,999999,,,,,,,,20,
137,HS0304,HS-3-4,HS,2020-01-01 1:00,5073.78,,2260.278,,1.769,0,,,1.769,,0.050442,999999,999999,,,,,,,,21,
138,HS0305,HS-3-5,HS,2020-01-01 1:00,5048.96,,2280.164,,7.692,0,,,7.692,,0.051216,999999,999999,,,,,,,,22,
139,HS0306,HS-3-6,HS,2020-01-01 1:00,4962.72,,2262.378,,8.006,0,,,8.006,,0.051443,999999,999999,,,,,,,,23,
140,HS0307,HS-3-7,HS,2020-01-01 1:00,5151.11,,2214.708,,-12.295,0,,,-12.295,,0.049944,999999,999999,,,,,,,,24,
141,HS0308,HS-3-8,HS,2020-01-01 1:00,5289.76,,2318.46,,4.253,0,,,4.253,,0.049748,999999,999999,,,,,,,,25,
142,HS0309,HS-3-9,HS,2020-01-01 1:00,5092.12,,2249.491,,-1.64,0,,,-1.64,,0.05138,999999,999999,,,,,,,,26,
143,SG0011,SC-11,SG,2020-01-01 1:00,4002.34,9.9,1987.42,-3.654,-0.515,-6.579,-0.724,,,-5.855,-0.07637,-0.33908,999999,,,,,,,,14,84
144,SG0012,SC-12,SG,2020-01-01 1:00,3903.39,9.6,1955.087,9.867,1.894,24.188,-0.483,,,24.671,-0.079959,-0.33689,999999,,,,,,,,15,85
145,SG0013,SC-13,SG,2020-01-01 1:00,3886.8,5.7,1917.035,14.943,11.675,149.087,-0.696,,,149.783,-0.074527,-0.315,999999,,,,,,,,40,110
146,SG0014,SC-14,SG,2020-01-01 1:00,3961.5,11.8,1914.345,12.592,17.998,229.839,-0.731,,,230.57,-0.074431,-0.35082,999999,,,,,,,,16,86
147,SG0015,SC-15,SG,2020-01-01 1:00,4122.5,5.8,1950.744,-3.415,18.527,236.593,-0.695,,,237.288,-0.071254,-0.36197,999999,,,,,,,,41,111
150,EP1303,EP-13U,EP,2020-06-29 9:00,3522.53,4.7,1741.783,-5.979,88.524,-0.007,,,88.531,,-1.9587,-0.31109,999999,,,,,,,,2,72
151,EP1401,EP-14C,EP,2020-06-29 9:00,3849.32,12.2,1868.849,-16.532,41.613,-0.005,,,41.618,,-1.3409,-0.67884,999999,,,,,,,,6,76
152,EP1402,EP-14D,EP,2020-06-29 9:00,2800.26,10.3,1621.945,11.014,17.921,-0.003,,,17.924,,-1.3509,-0.72611,999999,,,,,,,,7,77
153,EP1403,EP-14U,EP,2020-06-29 9:00,3775.6,10.6,1889.732,9.951,20.96,-0.004,,,20.964,,-1.3617,-0.54466,999999,,,,,,,,5,75
154,EP1501,EP-15C,EP,2020-06-29 9:00,4264.38,16,1966.714,9.882,47.057,-0.007,,,47.064,,-1.3637,-0.57106,999999,,,,,,,,9,79
155,EP1502,EP-15D,EP,2020-06-29 9:00,3507,14.8,1801.622,-17.278,29.574,-0.006,,,29.58,,-1.365,-0.12796,999999,,,,,,,,10,80
157,EP1601,EP-16C,EP,2020-06-29 9:00,3398,11.2,1747.458,3.551,42.106,-0.004,,,42.11,,-1.3829,-0.92484,999999,,,,,,,,12,82
161,EP1702,EP-17D,EP,2020-06-29 9:00,3144.27,5.9,1751.439,14.241,4.175,-0.006,,,4.181,,-1.3328,-1.2495,999999,,,,,,,,36,108
162,EP1703,EP-17U,EP,2020-06-29 9:00,3049.44,3.2,1725.316,-21.543,3.894,-0.005,,,3.899,,-1.3602,-0.6546,999999,,,,,,,,34,106
163,EP1801,EP-18C,EP,2020-06-29 9:00,3821.76,3,1922.268,14.241,9.622,-0.004,,,9.626,,-1.3249,-0.50513,999999,,,,,,,,38,108
164,EP1802,EP-18D,EP,2020-06-29 9:00,2908.47,3.4,3422.987,-4.989,-1181.435,-0.012,,,-1181.423,,-1.2896,-0.70123,999999,,,,,,,,39,111
175,NS0008,NS-8,NS,2020-02-29 5:00,2155.3,0,751.792,7.98,-1403.508,-1403.508,,,,,999999,999999,999999,,,,,,,,67,137
176,PJ0501,PJ-5-1,PJ,2020-01-01 1:00,4476.54,,539.878,,-70.443,-0.005,,,-70.438,,0.016832,999999,999999,,,,,,50,,,
177,PJ0502,PJ-5-2,PJ,2020-01-01 1:00,4589.28,,2187.295,,3.348,0,,,3.348,,0.017171,999999,999999,,,,,,51,,,
