,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,id,senid,name,type,date,init01,init02,m01,m02,c01,c02,c03,c04,pc01,pc02,gf01,gf02,gf03,gf04,gf05,gf06,logger1_pos1,logger1_pos2,logger2_pos1,logger2_pos2,logger3_pos1,logger3_pos2
0,0,0,0,0,0,0,0,0,0,1,HS0101,HS-1-1,HS,2020-01-01 1:00,5399.28,0.0,2280.356,0.0,-10.096,0.0,0.0,0.0,-10.096,0.0,0.050668,999999.0,999999.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,1,1,1,2,HS0110,HS-1-10,HS,2020-01-01 1:00,5179.41,0.0,3297.058,0.0,288.537,0.0,0.0,0.0,288.537,0.0,0.050699,999999.0,999999.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
2,2,2,2,2,2,2,2,2,2,3,HS0111,HS-1-11,HS,2020-01-01 1:00,5131.01,0.0,2292.937,0.0,6.409,0.0,0.0,0.0,6.409,0.0,0.050643,999999.0,999999.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
3,3,3,3,3,3,3,3,3,3,4,HS0112,HS-1-12,HS,2020-01-01 1:00,5261.71,0.0,2294.417,0.0,0.132,0.0,0.0,0.0,0.132,0.0,0.050136,999999.0,999999.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
4,4,4,4,4,4,4,4,4,4,5,HS0113,HS-1-13,HS,2020-01-01 1:00,5441.44,0.0,2331.938,0.0,-0.174,0.0,0.0,0.0,-0.174,0.0,0.049632,999999.0,999999.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
5,5,5,5,5,5,5,5,5,5,6,HS0114,HS-1-14,HS,2020-01-01 1:00,5213.52,0.0,2279.658,0.0,-0.862,0.0,0.0,0.0,-0.862,0.0,0.051674,999999.0,999999.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,7,HS0102,HS-1-2,HS,2020-01-01 1:00,5296.09,0.0,539.993,0.0,-252.747,0.0,0.0,0.0,-252.747,0.0,0.050504,999999.0,999999.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
7,7,7,7,7,7,7,7,7,7,8,HS0103,HS-1-3,HS,2020-01-01 1:00,5145.39,0.0,2261.434,0.0,-1.558,0.0,0.0,0.0,-1.558,0.0,0.049755,999999.0,999999.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
8,8,8,8,8,8,8,8,8,8,9,HS0104,HS-1-4,HS,2020-01-01 1:00,5290.31,0.0,2288.28,0.0,-2.693,0.0,0.0,0.0,-2.693,0.0,0.049799,999999.0,999999.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
9,9,9,9,9,9,9,9,9,9,10,HS0105,HS-1-5,HS,2020-01-01 1:00,5221.92,0.0,2314.708,0.0,6.824,0.0,0.0,0.0,6.824,0.0,0.050196,999999.0,999999.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
